City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
335,rabaul,-4.1967,152.1721,26.71,85,99,1.67,PG,1683865822
336,san pedro pochutla,15.7333,-96.4667,28.17,72,82,3.66,MX,1683865823
337,severo-yeniseyskiy,60.3725,93.0408,0.42,69,100,4.42,RU,1683865823
338,kotlas,61.2611,46.6556,14.17,69,98,2.81,RU,1683865824
339,saldanha,-33.0117,17.9442,11.03,71,22,13.88,ZA,1683865824
340,deir ez-zor,35.3359,40.1408,27.24,25,100,6.6,SY,1683865825
341,baharly,38.4362,57.4316,26.24,34,0,4.39,TM,1683865827
342,nadi,-17.8,177.4167,31.0,55,40,6.69,FJ,1683865828
343,troitskoye,52.9821,84.6757,13.54,45,100,4.16,RU,1683865828
344,muntok,-2.0667,105.1833,31.54,63,44,0.65,ID,1683865829
345,hami,42.8,93.45,27.97,7,75,2.46,CN,1683865829
346,lukolela,-1.0605,17.1821,21.49,96,82,0.89,CD,1683865830
347,port lincoln,-34.7333,135.8667,16.25,57,11,4.77,AU,1683865831
348,egilsstadir,65.2653,-14.3948,7.95,81,75,8.23,IS,1683865831
349,harstad,68.799,16.5293,6.66,100,97,4.02,NO,1683865832
350,dul'durga,50.6761,113.5931,14.36,19,0,4.76,RU,1683865833
351,sangueya,10.7,-14.3667,25.44,77,99,1.48,GN,1683865834
352,karratha,-20.7377,116.8463,29.42,18,0,7.74,AU,1683865835
353,kibara,-2.15,33.45,20.91,80,100,2.81,TZ,1683865836
354,ribeira brava,32.65,-17.0667,20.07,66,32,4.56,PT,1683865837
355,stryi,49.2622,23.8561,7.66,82,85,5.04,UA,1683865837
356,khorugh,37.4897,71.553,15.05,41,100,0.18,TJ,1683865838
357,borogontsy,62.6683,131.1683,5.46,46,100,2.36,RU,1683865839
358,lethbridge,49.7,-112.8186,12.27,82,75,2.06,CA,1683865804
359,sorong,-0.8833,131.25,27.96,79,96,3.85,ID,1683865840
360,lazaro cardenas,17.9583,-102.2,27.19,75,99,3.18,MX,1683865840
361,mandla,22.6,80.3833,39.04,7,8,1.28,IN,1683865841
362,itaituba,-4.2761,-55.9836,22.86,99,100,0.61,BR,1683865841
363,noshiro,40.2039,140.0242,18.46,52,3,3.81,JP,1683865841
364,conduaga,8.862,117.4893,31.32,63,98,2.14,PH,1683865842
